name	|	uid	|	type	|	uniqname	|	sourceinfo	|	
Mourloniella solenhofensis	|	1062253	|	synonym	|	Mourloniella solenhofensis (synonym for Insecta)	|	gbif:216	|	
Lystra vollenhoveni	|	1062253	|	synonym	|	Lystra vollenhoveni (synonym for Insecta)	|	gbif:216	|	
Hydroporus petefractus	|	1062253	|	synonym	|	Hydroporus petefractus (synonym for Insecta)	|	gbif:216	|	
Corixa mortua	|	1062253	|	synonym	|	Corixa mortua (synonym for Insecta)	|	gbif:216	|	
Anisorhynchus lapideus	|	1062253	|	synonym	|	Anisorhynchus lapideus (synonym for Insecta)	|	gbif:216	|	
Chauliodites minor	|	1062253	|	synonym	|	Chauliodites minor (synonym for Insecta)	|	gbif:216	|	
Gyrophlebia longicollis	|	1062253	|	synonym	|	Gyrophlebia longicollis (synonym for Insecta)	|	gbif:216	|	
Flata haidingeri	|	1062253	|	synonym	|	Flata haidingeri (synonym for Insecta)	|	gbif:216	|	
Palaeodictyopteron latipenne	|	1062253	|	synonym	|	Palaeodictyopteron latipenne (synonym for Insecta)	|	gbif:216	|	
Idomastotermes mysticus	|	1062253	|	synonym	|	Idomastotermes mysticus (synonym for Insecta)	|	gbif:216	|	
Cercopis prisca	|	1062253	|	synonym	|	Cercopis prisca (synonym for Insecta)	|	gbif:216	|	
Bittacus reticulatus	|	1062253	|	synonym	|	Bittacus reticulatus (synonym for Insecta)	|	gbif:216	|	
Chrysopa solenhofensis	|	1062253	|	synonym	|	Chrysopa solenhofensis (synonym for Insecta)	|	gbif:216	|	
Termes peccanae	|	1062253	|	synonym	|	Termes peccanae (synonym for Insecta)	|	gbif:216	|	
Hebeitermes weichangensis	|	1062253	|	synonym	|	Hebeitermes weichangensis (synonym for Insecta)	|	gbif:216	|	
Meganeura vischerae	|	1062253	|	synonym	|	Meganeura vischerae (synonym for Insecta)	|	gbif:216	|	
Lygaeites priscus	|	1062253	|	synonym	|	Lygaeites priscus (synonym for Insecta)	|	gbif:216	|	
Saperdites cristallosus	|	1062253	|	synonym	|	Saperdites cristallosus (synonym for Insecta)	|	gbif:216	|	
Meloe bavaricus	|	1062253	|	synonym	|	Meloe bavaricus (synonym for Insecta)	|	gbif:216	|	
Blattaria dunckeri	|	1062253	|	synonym	|	Blattaria dunckeri (synonym for Insecta)	|	gbif:216	|	
Orthophlebia minuta	|	1062253	|	synonym	|	Orthophlebia minuta (synonym for Insecta)	|	gbif:216	|	
LKM74	|	1064655	|	proparte synonym	|	LKM74 (synonym for Amoebozoa)	|	silva:D28490/#2	|	
LEMD255	|	1064655	|	proparte synonym	|	LEMD255 (synonym for Amoebozoa)	|	silva:D28490/#2	|	
Hemitrichia stipata	|	1078775	|	synonym	|	Hemitrichia stipata (synonym for Arcyria stipata)	|	gbif:3215172,irmng:10781680	|	
Hemitrichia stipata var. stipata	|	1078775	|	synonym	|	Hemitrichia stipata var. stipata (synonym for Arcyria stipata)	|	gbif:3215172	|	
Hemiarcyria stipata	|	1078775	|	synonym	|	Hemiarcyria stipata (synonym for Arcyria stipata)	|	gbif:3215172,irmng:10781680	|	
Leangium stipatum	|	1078775	|	synonym	|	Leangium stipatum (synonym for Arcyria stipata)	|	gbif:3215172,irmng:10781680	|	
Hemitrichia stipata var. fusca	|	1078775	|	synonym	|	Hemitrichia stipata var. fusca (synonym for Arcyria stipata)	|	gbif:3215172	|	
Adenophora Adenophora racemosa	|	1078772	|	misspelling	|	Adenophora Adenophora racemosa (synonym for Adenophora racemosa)	|	ncbi:1049763	|	
Hypsela	|	1086294	|	includes	|	Hypsela (synonym for Lobelia)	|	ncbi:4382,irmng:1295316	|	
Heterotoma	|	1086294	|	synonym	|	Heterotoma (synonym for Lobelia)	|	gbif:2756426	|	
Enchysia	|	1086294	|	synonym	|	Enchysia (synonym for Lobelia)	|	gbif:2756426,irmng:1299058	|	
Palmerella	|	1086294	|	synonym	|	Palmerella (synonym for Lobelia)	|	gbif:2756426	|	
Isolobus	|	1086294	|	synonym	|	Isolobus (synonym for Lobelia)	|	gbif:2756426,irmng:1299058	|	
Myopsia	|	1086294	|	synonym	|	Myopsia (synonym for Lobelia)	|	gbif:2756426	|	
Neowimmeria	|	1086294	|	synonym	|	Neowimmeria (synonym for Lobelia)	|	gbif:2756426,irmng:1299058	|	
Haynaldia	|	1086294	|	synonym	|	Haynaldia (synonym for Lobelia)	|	gbif:2756426,irmng:1299058	|	
Dortmanna	|	1086294	|	synonym	|	Dortmanna (synonym for Lobelia)	|	gbif:2756426,irmng:1083184	|	
Trimeris	|	1086294	|	synonym	|	Trimeris (synonym for Lobelia)	|	gbif:2756426,irmng:1308508	|	
Speirema	|	1086294	|	synonym	|	Speirema (synonym for Lobelia)	|	gbif:2756426	|	
Colensoa	|	1086294	|	synonym	|	Colensoa (synonym for Lobelia)	|	gbif:2756426	|	
Piddingtonia	|	1086294	|	synonym	|	Piddingtonia (synonym for Lobelia)	|	gbif:2756426	|	
Isotoma	|	1086294	|	synonym	|	Isotoma (synonym for Lobelia)	|	gbif:2756426	|	
Mezleria	|	1086294	|	synonym	|	Mezleria (synonym for Lobelia)	|	gbif:2756426,irmng:1299058	|	
